Code,Item,Group,Region_Number,REGION_NAME,State_Name,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Average_Annual_Percent_Growth
11,Population (Thousands),State,6,Southwest,Oklahoma,3175,3221,3252,3281,3308,3340,3373,3405,3437,3454,3467,3489,3505,3525,3549,3594,3634,3669,3718,3760,3786,3817,3852,3877,0.9
11,Population (Thousands),State,8,Far West,Oregon,2929,2992,3060,3121,3184,3247,3304,3352,3394,3430,3468,3513,3547,3569,3613,3671,3722,3769,3809,3838,3868,3899,3926,3968,1.3
11,Population (Thousands),State,2,Mideast,Pennsylvania,11982,12049,12120,12166,12198,12220,12228,12246,12264,12284,12299,12331,12375,12411,12450,12511,12564,12612,12667,12712,12744,12772,12781,12791,0.3
11,Population (Thousands),State,1,New England,Rhode Island,1011,1013,1015,1016,1017,1021,1025,1031,1040,1050,1057,1066,1071,1075,1068,1063,1057,1055,1054,1053,1052,1053,1053,1054,0.2
11,Population (Thousands),State,5,Southeast,South Carolina,3570,3620,3663,3705,3749,3796,3860,3919,3975,4024,4065,4108,4150,4211,4270,4358,4444,4529,4590,4636,4673,4721,4768,4828,1.3
11,Population (Thousands),State,4,Plains,South Dakota,704,713,722,731,738,742,744,746,750,756,758,760,764,770,775,783,792,799,807,816,824,834,845,853,0.8
11,Population (Thousands),State,5,Southeast,Tennessee,4967,5050,5138,5231,5327,5417,5499,5570,5639,5704,5751,5796,5848,5911,5991,6089,6176,6247,6306,6357,6398,6454,6495,6545,1.2
11,Population (Thousands),State,6,Southwest,Texas,17398,17760,18162,18564,18959,19340,19740,20158,20558,20944,21320,21690,22031,22394,22778,23360,23832,24309,24802,25244,25646,26072,26474,26945,1.9
11,Population (Thousands),State,7,Rocky Mountains,Utah,1780,1837,1898,1960,2014,2068,2120,2166,2203,2245,2284,2325,2360,2402,2458,2526,2598,2663,2723,2775,2816,2856,2903,2942,2.2
11,Population (Thousands),State,1,New England,Vermont,569,573,578,584,589,594,597,600,605,610,612,615,618,620,621,623,623,624,625,626,627,626,627,627,0.4
11,Population (Thousands),State,5,Southeast,Virginia,6301,6414,6510,6593,6671,6751,6829,6901,7000,7106,7198,7287,7367,7476,7577,7674,7751,7833,7926,8026,8110,8192,8263,8317,1.2
11,Population (Thousands),State,8,Far West,Washington,5026,5161,5279,5375,5481,5570,5675,5770,5843,5911,5986,6052,6104,6179,6257,6371,6462,6562,6667,6743,6823,6895,6968,7054,1.5
11,Population (Thousands),State,5,Southeast,West Virginia,1799,1806,1818,1820,1824,1823,1819,1816,1812,1807,1801,1805,1812,1816,1820,1828,1834,1840,1848,1854,1855,1857,1853,1849,0.1
11,Population (Thousands),State,3,Great Lakes,Wisconsin,4964,5025,5085,5134,5185,5230,5266,5298,5333,5374,5407,5445,5479,5514,5546,5578,5611,5641,5669,5690,5710,5726,5743,5758,0.6
11,Population (Thousands),State,7,Rocky Mountains,Wyoming,459,466,473,480,485,488,489,491,492,494,495,500,503,509,514,523,535,546,560,565,568,577,583,584,1
